filename,status,items_count,confidence,processing_time,method_chosen,table_score,fallback_score,has_pack_size,has_prices,error
76382a9b-9b7e-4153-a487-16e8e071d18d__26.08INV.jpeg,ok,3,0.8333333333333334,4.452,fallback,0.0,9.083333333333332,True,True,
76382a9b-9b7e-4153-a487-16e8e071d18d__26.08INV.pre.png,ok,4,0.9,3.342,fallback,0.0,13.4,True,True,
783ec9b5-9c29-4178-b687-8cd2e0680821__processed-4C99F607-686C-42FF-9166-84631324B347.jpeg,ok,4,0.825,4.815,fallback,0.0,11.325,False,True,
783ec9b5-9c29-4178-b687-8cd2e0680821__processed-4C99F607-686C-42FF-9166-84631324B347.pre.png,ok,4,0.825,4.419,fallback,0.0,11.325,False,True,
8cef2a3d-5da9-40f8-9383-812fc73115e8__processed-4C99F607-686C-42FF-9166-84631324B347.jpeg,ok,4,0.825,4.802,fallback,0.0,11.325,False,True,
8cef2a3d-5da9-40f8-9383-812fc73115e8__processed-4C99F607-686C-42FF-9166-84631324B347.pre.png,ok,4,0.825,4.449,fallback,0.0,11.325,False,True,
8de52559-2327-4b79-92d3-c8e829fad60f__processed-4C99F607-686C-42FF-9166-84631324B347.jpeg,ok,4,0.825,4.854,fallback,0.0,11.325,False,True,
8de52559-2327-4b79-92d3-c8e829fad60f__processed-4C99F607-686C-42FF-9166-84631324B347.pre.png,ok,4,0.825,4.392,fallback,0.0,11.325,False,True,
927ee028-167a-465c-bda1-ee2fa23a4cd0__processed-4C99F607-686C-42FF-9166-84631324B347.jpeg,ok,4,0.825,4.772,fallback,0.0,11.325,False,True,
927ee028-167a-465c-bda1-ee2fa23a4cd0__processed-4C99F607-686C-42FF-9166-84631324B347.pre.png,ok,4,0.825,4.34,fallback,0.0,11.325,False,True,
9a2186ee-40d4-41a0-9653-fab9949c36af__processed-4C99F607-686C-42FF-9166-84631324B347.jpeg,ok,4,0.825,4.874,fallback,0.0,11.325,False,True,
9a2186ee-40d4-41a0-9653-fab9949c36af__processed-4C99F607-686C-42FF-9166-84631324B347.pre.png,ok,4,0.825,4.391,fallback,0.0,11.325,False,True,
9e20b6ae-3e42-433b-8435-525f89485e6b__processed-4C99F607-686C-42FF-9166-84631324B347.jpeg,ok,4,0.825,4.799,fallback,0.0,11.325,False,True,
9e20b6ae-3e42-433b-8435-525f89485e6b__processed-4C99F607-686C-42FF-9166-84631324B347.pre.png,ok,4,0.825,4.426,fallback,0.0,11.325,False,True,
a0b7a5ea-5e6e-4627-b0c0-4ef85a9c2648__processed-4C99F607-686C-42FF-9166-84631324B347.jpeg,ok,4,0.825,4.823,fallback,0.0,11.325,False,True,
a0b7a5ea-5e6e-4627-b0c0-4ef85a9c2648__processed-4C99F607-686C-42FF-9166-84631324B347.pre.png,ok,4,0.825,6.839,fallback,0.0,11.325,False,True,
b1414831-0645-4ac1-871c-a3933b56114d__processed-4C99F607-686C-42FF-9166-84631324B347.jpeg,ok,4,0.825,7.239,fallback,0.0,11.325,False,True,
b1414831-0645-4ac1-871c-a3933b56114d__processed-4C99F607-686C-42FF-9166-84631324B347.pre.png,ok,4,0.825,4.451,fallback,0.0,11.325,False,True,
b6b4aa32-b5f0-4d32-83a1-59107bde316e__07.08P1INV.jpeg,ok,4,0.825,5.337,fallback,0.0,10.575,False,True,
b6b4aa32-b5f0-4d32-83a1-59107bde316e__07.08P1INV.pre.png,ok,0,0.8223694779116465,6.336,none,0.0,0.0,False,False,
b71b78e9-1df6-4a09-9556-23847ea6b9d1__processed-4C99F607-686C-42FF-9166-84631324B347.jpeg,ok,4,0.825,5.013,fallback,0.0,11.325,False,True,
b71b78e9-1df6-4a09-9556-23847ea6b9d1__processed-4C99F607-686C-42FF-9166-84631324B347.pre.png,ok,4,0.825,6.577,fallback,0.0,11.325,False,True,
cd35a870-b855-4c2e-9068-128ec99b11c4__processed-4C99F607-686C-42FF-9166-84631324B347.jpeg,ok,4,0.825,4.673,fallback,0.0,11.325,False,True,
cd35a870-b855-4c2e-9068-128ec99b11c4__processed-4C99F607-686C-42FF-9166-84631324B347.pre.png,ok,4,0.825,4.559,fallback,0.0,11.325,False,True,
d5b78233-0e1f-4474-aa54-c0d6aa00a3c9__processed-4C99F607-686C-42FF-9166-84631324B347.jpeg,ok,4,0.825,5.034,fallback,0.0,11.325,False,True,
d5b78233-0e1f-4474-aa54-c0d6aa00a3c9__processed-4C99F607-686C-42FF-9166-84631324B347.pre.png,ok,4,0.825,7.186,fallback,0.0,11.325,False,True,
eca3bf28-3aeb-449c-a448-e561461ac2bc__processed-4C99F607-686C-42FF-9166-84631324B347.jpeg,ok,4,0.825,5.031,fallback,0.0,11.325,False,True,
eca3bf28-3aeb-449c-a448-e561461ac2bc__processed-4C99F607-686C-42FF-9166-84631324B347.pre.png,ok,4,0.825,4.624,fallback,0.0,11.325,False,True,
ef93d159-d5a4-4874-8cc5-38b25a9ab820__26.08INV.jpeg,ok,3,0.8333333333333334,4.788,fallback,0.0,9.083333333333332,True,True,
ef93d159-d5a4-4874-8cc5-38b25a9ab820__26.08INV.pre.png,ok,4,0.9,3.476,fallback,0.0,13.4,True,True,
